PLAYER,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT_NO_SHOES,HEIGHT_SHOES,STANDING_REACH,WEIGHT,WINGSPAN
Aaron Craft,PG,6.10%,7.75,8.5,6' 0.75'',6' 1.75'',7' 10.5'',191.6,6' 2''
Aaron Gordon,PF,5.05%,8.75,10.5,6' 7.5'',6' 8.75'',8' 9'',220.1,6' 11.75''
Adreian Payne,PF,7.55%,9.25,9.5,6' 9'',6' 9.75'',9' 1'',238.5,7' 4''
Alec Brown,PF,7.70%,9.25,8.75,7' 0.25'',7' 1.25'',9' 1'',231.2,7' 1.5''
Alex Kirk,PF,13.60%,9.25,10.5,6' 9.25'',6' 10.75'',9' 1.5'',252,7' 3.5''
C.J. Fair,SF,5.05%,9,9,6' 6.5'',6' 8'',8' 8'',218.1,6' 9.5''
C.J. Wilcox,SG,6.50%,8.75,9,6' 3.5'',6' 5'',8' 4.5'',201,6' 9.75''
Cameron Bairstow,PF,8.70%,8.75,9,6' 8.75'',6' 9.75'',8' 11'',252.4,7' 0.75''
Cleanthony Early,SF,4.45%,8.5,9,6' 6'',6' 7.25'',8' 5.5'',209.4,6' 10.75''
Cory Jefferson,PF,5.25%,8.75,9.75,6' 7.75'',6' 9'',8' 9'',218.4,7' 0.5''
Dante Exum,SG,6.40%,8.5,9.5,6' 4.5'',6' 6'',8' 7'',196.3,6' 9.5''
DeAndre Daniels,SF,3.85%,9.25,10.5,6' 7.25'',6' 8.5'',8' 10.5'',196,7' 2''
DeAndre Kane,PG,5.00%,8.25,9,6' 2.75'',6' 4.5'',8' 3.5'',199.9,6' 8''
Deonte Burton,PG,7.65%,8.25,8,6' 0'',6' 1.25'',8' 1.5'',192.8,6' 7''
Devyn Marble,SG,6.90%,8.25,8.5,6' 5'',6' 6.5'',8' 6'',192.4,6' 9''
Doug McDermott,SF,7.10%,8.75,9.75,6' 6.25'',6' 7.75'',8' 7'',218,6' 9.25''
Dwight Powell,PF,6.20%,9,9.25,6' 9.5'',6' 11'',8' 9'',234.4,7' 0.5''
