PLAYER,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT_NO_SHOES,HEIGHT_SHOES,STANDING_REACH,WEIGHT,WINGSPAN
Alec Burks,SG,5.10%,9,8.25,6' 5'',6' 6'',8' 7.5'',192.6,6' 10''
Andrew Goudelock,PG,9.90%,8.25,9.25,6' 1.25'',6' 2.75'',8' 0.5'',197.6,6' 4.25''
Brandon Knight,PG,4.20%,8.25,9.5,6' 1.5'',6' 3.25'',8' 2.5'',176.8,6' 6.75''
Chandler Parsons,SF,7.00%,8.25,10,6' 8.75'',6' 9.75'',8' 8.5'',221.2,6' 9.5''
Charles Jenkins,PG-SG,4.30%,8.5,9,6' 1.5'',6' 3.25'',8' 0.5'',216.4,6' 7.5''
Chris Singleton,SF,7.40%,9.25,10,6' 7.75'',6' 9'',8' 7.5'',230.2,7' 1''
Cory Joseph,PG,9.70%,8.5,10.5,6' 2'',6' 3.25'',8' 3'',186.2,6' 5.5''
Darius Morris,PG-SG,5.30%,8.75,10,6' 3.25'',6' 5.25'',8' 6'',190,6' 7.5''
David Lighty,SG,6.50%,9,10,6' 4.75'',6' 6.5'',8' 5'',216.2,6' 8''
DeAndre Liggins,SF-SG,5.00%,8.75,10,6' 5'',6' 6.25'',8' 7.5'',202.2,6' 11''
Demetri McCamey,PG,6.10%,8.5,9,6' 1.75'',6' 3.25'',8' 3.5'',204,6' 6.25''
Derrick Williams,PF-SF,10.80%,9,9.75,6' 7.25'',6' 8.75'',9' 0'',248.4,7' 1.5''
E'Twaun Moore,SG,7.60%,9,10,6' 2.5'',6' 4'',8' 3.5'',191.4,6' 9.5''
Enes Kanter,PF-C,5.90%,9.5,10.75,6' 9.75'',6' 11.25'',9' 1.5'',259.2,7' 1.5''
Gregory Smith,PF-C,7.40%,9.75,12,6' 8'',6' 9.25'',8' 10.5'',252.8,7' 2.5''
