PLAYER,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT_NO_SHOES,HEIGHT_SHOES,STANDING_REACH,WEIGHT,WINGSPAN
Omar Quintero,PG,14.10%,-,-,5' 9.75'',5' 11.25'',7' 8.5'',170,5' 11.5''
Pape Sow,PF-C,9.30%,-,-,6' 8.5'',6' 10'',9' 0.5'',233,7' 2''
Peter Ramos,C,6.70%,-,-,7' 1.75'',7' 3.25'',9' 3.5'',266,7' 5.5''
Randall Orr,PF-SF,6.70%,-,-,6' 9'',6' 10.75'',8' 11.5'',193,6' 10.5''
Rashad Wright,PG,8.00%,-,-,6' 0.5'',6' 1.75'',8' 2.5'',190,6' 10''
Rich Melzer,PF-SF,12.40%,-,-,6' 7.5'',6' 8.75'',8' 11'',229,7' 2''
Rickey Paulding,SG,5.30%,-,-,6' 2.75'',6' 4'',8' 5.5'',210,6' 9.5''
Ricky Minard,PG-SG,8.00%,-,-,6' 3.25'',6' 4.25'',8' 5.5'',198,6' 7''
Rolando Howell,PF,11.70%,-,-,6' 7.5'',6' 8.5'',8' 11'',229,7' 0.5''
Romain Sato,SG,6.00%,-,-,6' 2'',6' 3.25'',8' 6.5'',204,6' 11''
Ryan Gomes,SF-PF,-%,-,-,6' 6.5'',6' 7.75'',8' 10.5'',248,7' 2''
Sergei Lishouk,PF-SF,10.50%,-,-,6' 10.25'',6' 11.5'',9' 1.5'',244,7' 0''
Shaun Livingston,PG-SG,6.70%,-,-,6' 6.25'',6' 7.5'',8' 9.5'',186,6' 11''
TJ Cummings,SF,6.70%,-,-,6' 7.5'',6' 8.75'',8' 10.5'',215,6' 9.5''
Tiago Splitter,C-PF,5.30%,-,-,6' 10.25'',6' 11.75'',9' 1.5'',233,7' 2''
Tim Bowers,PG-SG,2.60%,-,-,6' 0.5'',6' 1.75'',8' 2'',181,6' 9''
Tim Pickett,PG-SG,6.00%,-,-,6' 3'',6' 4.25'',8' 4.5'',207,6' 7.5''
Tom Timmerrmans,PF-C,15.20%,-,-,6' 10.5'',6' 11.5'',8' 11.5'',272,6' 11''
Tony Allen,SG,6.70%,-,-,6' 3.5'',6' 4.25'',8' 6'',214,6' 9''
Tony Bobbitt,SG,7.30%,-,-,6' 2.75'',6' 4'',8' 4'',185,6' 7''
Trevor Ariza,SG-SF,8.00%,-,-,6' 7'',6' 8.25'',8' 11.5'',201,7' 2''
