PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Aaron Miles,PG,-%,-,-,6' 0'',6' 1.5'',7' 10'',174.6,6' 3.5''
Alan Anderson,SG-SF,-%,-,-,6' 4.5'',6' 6'',8' 8'',223.2,6' 9.5''
Alex Acker,SG,-%,-,-,6' 3.75'',6' 4.75'',8' 6.5'',183,7' 0''
Andrew Bogut,C-PF,-%,-,-,6' 11'',7' 0.25'',9' 2.5'',250.6,7' 3''
Anthony Roberson,PG,-%,-,-,6' 0.75'',6' 2.5'',7' 11'',178.8,6' 2.75''
Antoine Wright,SF-SG,-%,-,-,6' 5.25'',6' 6.25'',8' 8.5'',202.6,6' 8.75''
Bracey Wright,SG-PG,-%,-,-,6' 1.25'',6' 2.5'',8' 4.5'',186.8,6' 10''
Brandon Rush,SG-SF,-%,-,-,6' 5'',6' 6.5'',8' 8.5'',211.4,6' 11.25''
Carl Krauser,PG-SG,-%,-,-,5' 11.5'',6' 0.75'',8' 2.5'',193.4,6' 5.5''
Carlos Powell,SF-PF,-%,-,-,6' 5.25'',6' 6.75'',8' 9'',221.8,6' 10.75''
Channing Frye,PF-C,-%,-,-,6' 9.5'',6' 10.5'',9' 2.5'',243.6,7' 2.5''
Charles Hayes,SF-PF,-%,-,-,6' 5.5'',6' 6.75'',8' 8.5'',232.4,6' 10''
Charlie Villanueva,PF-SF,-%,-,-,6' 9'',6' 9.5'',9' 1'',236.6,7' 0.25''
Chris Paul,PG,-%,-,-,5' 11.75'',6' 1'',7' 9'',178,6' 4.25''
Chris Taft,PF,-%,-,-,6' 8.5'',6' 9.5'',9' 1'',261,7' 1.75''
Chris Thomas,PG,-%,-,-,5' 11.75'',6' 1'',7' 11'',176.2,6' 3''
D'Or Fischer,C-PF,-%,-,-,6' 9.25'',6' 10.5'',9' 2.5'',242.4,7' 6''
Danny Granger,,-%,-,-,6' 7.5'',6' 8.5'',8' 7'',225.4,7' 1.5''
Daryl Dorsey,PG,-%,-,-,5' 11.25'',6' 0.5'',7' 10'',160.8,5' 11.5''
David Lee,PF,-%,-,-,6' 7.75'',6' 9'',8' 10.5'',229.5,7' 0''
David Lucas,PF,-%,-,-,6' 6.5'',6' 7.75'',8' 7.5'',233.4,7' 0''
David Simon,C-PF,-%,-,-,6' 8'',6' 9.5'',9' 0'',258.8,7' 3.5''
Dee Brown,PG-SG,-%,-,-,5' 11'',6' 0'',7' 10'',179,6' 2''
Deji Akindele,C-PF,-%,-,-,6' 9.5'',6' 11'',9' 0.5'',236.4,7' 3''
Deng Gai,PF-C,-%,-,-,6' 7.75'',6' 9.25'',9' 2.5'',214,7' 4.5''
Deron Williams,PG,-%,-,-,6' 1.75'',6' 2.75'',8' 2'',202.4,6' 6.25''
Dijon Thompson,SF-SG,-%,-,-,6' 6.25'',6' 8'',8' 9.5'',195.8,6' 9.75''
Drago Pasalic,SF-PF,-%,-,-,6' 9.5'',6' 11'',9' 0.5'',238.8,6' 11.75''
