PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Andre Drummond,C,7.50%,9.5,9.5,6' 9.75'',6' 11.75'',9' 1.5'',278.6,7' 6.25''
Andrew Nicholson,PF,7.60%,10,10.75,6' 8.5'',6' 9.5'',8' 11'',234,7' 4''
Anthony Davis,PF-C,7.90%,9,8.5,6' 9.25'',6' 10.5'',9' 0'',221.8,7' 5.5''
Arnett Moultrie,PF,7.70%,9.25,9.25,6' 9.5'',6' 10.75'',8' 10.5'',232.8,7' 2.25''
Austin Rivers,SG-PG,6.20%,8.5,10,6' 3.5'',6' 5'',8' 0.5'',202.8,6' 7.25''
Bernard James,PF,5.00%,9,9.25,6' 8.75'',6' 10'',9' 0.5'',229.8,7' 3''
Bradley Beal,SG,6.00%,8.5,9,6' 3.25'',6' 4.75'',8' 4'',201.8,6' 8''
Damian Lillard,PG,5.90%,8.75,9.75,6' 1.75'',6' 2.75'',7' 11.5'',188.8,6' 7.75''
Darius Johnson-Odom,SG,7.00%,8.75,8.75,6' 1.5'',6' 3'',8' 0'',212,6' 7''
Darius Miller,SF-SG,7.50%,8.5,8.75,6' 6'',6' 7.5'',8' 5'',233.4,6' 9''
Dion Waiters,SG,8.50%,8.5,9.5,6' 2.5'',6' 4'',8' 2'',221,6' 7.25''
Doron Lamb,SG-PG,6.70%,8.5,8.75,6' 3.25'',6' 4.75'',8' 2.5'',199.4,6' 6.75''
Draymond Green,PF-SF,11.30%,9,9.5,6' 5.75'',6' 7.5'',8' 9'',235.6,7' 1.25''
Drew Gordon,PF,9.10%,8.5,9.75,6' 8'',6' 8.75'',8' 7.5'',239,6' 11.5''
Fab Melo,C,9.20%,9,10,6' 10.75'',7' 0'',9' 2'',255,7' 2.5''
Festus Ezeli,C-PF,5.50%,9,10.75,6' 9.75'',6' 11.5'',9' 0'',264.2,7' 5.75''
Harrison Barnes,SF-SG,9.60%,9,8.5,6' 7'',6' 8'',8' 5.5'',227.8,6' 11.25''
Henry Sims,C-PF,7.70%,9.25,10,6' 10'',6' 11.75'',9' 0'',241.2,7' 4''
Hollis Thompson,SF,6.00%,8.25,9.75,6' 6.75'',6' 8'',8' 6.5'',206,6' 9.5''
J'Covan Brown,PG,12.50%,7.75,8.25,6' 1'',6' 2.25'',8' 0'',202.4,6' 5.25''
JaMychal Green,PF,9.80%,9.25,9.25,6' 8'',6' 9'',8' 10.5'',217.4,7' 2.25''
Jae Crowder,SF,9.00%,9.5,10.5,6' 4.75'',6' 6.5'',8' 3.5'',241.2,6' 9.25''
Jared Cunningham,SG-PG,3.60%,8.25,9,6' 3.5'',6' 5'',8' 2'',187.6,6' 6.5''
Jared Sullinger,PF,10.70%,9.25,9.75,6' 7.75'',6' 9'',8' 9.5'',268.2,7' 1.25''
Jeff Taylor,SF-SG,4.20%,8.25,9.75,6' 6'',6' 7.25'',8' 5.5'',212.8,6' 6.25''
Jeremy Lamb,SG,4.50%,8.75,9.25,6' 4'',6' 5.25'',8' 6'',179.2,6' 11''
John Henson,PF,8.60%,9.25,10,6' 9'',6' 10.5'',9' 4'',216,7' 5''
John Jenkins,SG,7.10%,9,9,6' 3.25'',6' 4.25'',8' 2'',212,6' 8.5''
Jordan Taylor,PG,5.50%,8.25,9.5,6' 1'',6' 2'',7' 8.5'',192.8,6' 3''
Kendall Marshall,PG,7.80%,8.5,9,6' 3.25'',6' 4.25'',8' 0'',198.4,6' 5.5''
Kevin Jones,PF,11.20%,9,7.75,6' 6.25'',6' 7.5'',8' 9'',251.2,7' 1.5''
Kevin Murphy,SG,5.80%,8.5,8.5,6' 5'',6' 6.25'',8' 3'',194,6' 6.75''
Khris Middleton,SF,7.80%,9,9,6' 6.75'',6' 8.25'',8' 7'',216.2,6' 10.75''
Kim English,SG,4.30%,8.5,8.75,6' 4.5'',6' 5.75'',8' 2'',192,6' 6.5''
Kris Joseph,SG,8.60%,9,9,6' 6'',6' 7'',8' 8'',215,6' 11''
Kyle O'Quinn,PF,8.00%,9.5,10,6' 8.5'',6' 10'',8' 10.5'',240.8,7' 4.75''
Marcus Denmon,SG,6.60%,8.25,9.75,6' 2.25'',6' 3.25'',7' 10.5'',188.2,6' 5''
Marquis Teague,PG,6.30%,8.25,7.75,6' 1'',6' 2'',8' 0.5'',179.8,6' 7.25''
Maurice Harkless,SF,5.30%,9.25,10.25,6' 7.25'',6' 8.75'',8' 6.5'',206.6,7' 0''
Meyers Leonard,C,5.70%,9.25,11,6' 11.75'',7' 1.25'',9' 0'',249.8,7' 3''
Michael Kidd-Gilchrist,SF,7.00%,9,10.25,6' 5.75'',6' 7.5'',8' 8.5'',232.8,7' 0''
Mike Scott,PF,10.60%,8.5,9,6' 7.25'',6' 8.75'',8' 8'',240.8,6' 10.75''
Miles Plumlee,PF-C,11.40%,9.25,9,6' 10.5'',6' 11.75'',8' 9.5'',252.4,7' 0.75''
Orlando Johnson,SG,7.00%,9,9.5,6' 3.75'',6' 5.25'',8' 3'',223.8,6' 11.25''
Perry Jones,PF-SF,4.60%,9.25,9.5,6' 10.25'',6' 11.25'',8' 11'',233.8,7' 1.75''
Quincy Acy,PF,7.10%,9.5,11,6' 6.5'',6' 7.75'',8' 10.5'',223.8,7' 2.75''
Quincy Miller,SF,7.80%,9.25,10.25,6' 8.75'',6' 10'',8' 9'',218.7,7' 1.25''
Robbie Hummel,SF,9.40%,8.5,9.5,6' 7.25'',6' 8.5'',8' 6'',218,6' 8.5''
Royce White,PF,10.60%,9.5,11.5,6' 7'',6' 8'',8' 8.5'',260.6,7' 0''
Scott Machado,PG,5.80%,8.5,9.5,6' 1'',6' 2'',7' 10.5'',205.8,6' 4''
Terrence Jones,PF-SF,7.70%,9,10,6' 8.25'',6' 9.5'',8' 11'',252,7' 2.25''
