PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Aaron Harrison,SG,6.00%,8.75,10,6' 4.5'',6' 6'',8' 4.5'',209.2,6' 8.25''
Aaron White,PF-SF,8.00%,8.75,9.25,6' 7.75'',6' 8.75'',8' 10.5'',219.8,6' 11.5''
Alan Williams,PF,12.00%,8.5,9.5,6' 7.25'',6' 8.25'',8' 10.5'',261.4,7' 1.75''
Andrew Harrison,PG,5.90%,8.25,9.25,6' 4.5'',6' 5.5'',8' 4'',213.2,6' 9''
Anthony Brown,SF-SG,6.10%,8.5,9,6' 5.75'',6' 7.25'',8' 8.5'',211,6' 11''
Bobby Portis,PF,8.90%,9.5,9.25,6' 9.5'',6' 10.5'',9' 0.5'',246.2,7' 2''
Branden Dawson,PF,5.80%,9,8.75,6' 5.5'',6' 6.75'',8' 9'',230.2,6' 11''
Brandon Ashley,PF,8.80%,9,9.5,6' 7.25'',6' 8.5'',8' 9'',228,7' 3.75''
Cameron Payne,PG,6.30%,8.5,8.25,6' 0.75'',6' 1.5'',8' 1.5'',182.8,6' 7.25''
Chasson Randle,PG,4.50%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0.5'',178.8,6' 7''
Chris McCullough,PF,6.20%,8.75,8.75,6' 8.25'',6' 9'',9' 1'',199,7' 3.25''
Chris Walker,PF,5.10%,9,9,6' 8.75'',6' 9.25'',9' 0'',208,7' 2.75''
Christian Wood,PF,14.70%,9.25,10.75,6' 9.25'',6' 10.5'',9' 3.5'',216,7' 3.25''
Cliff Alexander,PF-C,5.80%,9.5,10.25,6' 7.25'',6' 8.5'',9' 1.5'',239.2,7' 3.5''
Corey Hawkins,SG-PG,5.50%,8.75,9,6' 0.75'',6' 1.75'',8' 3.5'',191.8,6' 8''
D?Angelo Russell,PG-SG,8.30%,8.75,9.75,6' 3.25'',6' 5'',8' 6'',193.4,6' 9.75''
Dakari Johnson,C,14.90%,9.25,10.5,6' 11'',6' 11.75'',9' 4'',264.6,7' 2''
Delon Wright,PG,6.60%,8,8.5,6' 4.25'',6' 5.5'',8' 5.5'',181.4,6' 7.5''
Devin Booker,SG,8.30%,8.75,9,6' 4.5'',6' 5.75'',8' 6.5'',205.8,6' 8.25''
Dez Wells,SG,8.10%,8.75,9.75,6' 3'',6' 4'',8' 4.5'',208.8,6' 9.5''
Frank Kaminsky,C-PF,9.40%,8.5,9.5,6' 11.75'',7' 0.75'',9' 1.5'',231.2,6' 11''
George de Paula,PG,6.70%,9.5,10.5,6' 4.5'',6' 5.5'',8' 8'',197,7' 0''
J.P. Tokoto,SF-SG,4.10%,8,8.75,6' 5.25'',6' 6.25'',8' 4.5'',195.8,6' 10''
Jarell Martin,PF,10.10%,8.25,9.5,6' 8'',6' 9.25'',8' 10.5'',238.6,6' 9''
Jerian Grant,PG,5.60%,8.25,8.5,6' 3.25'',6' 4.25'',8' 4'',198,6' 7.5''
Jonathan Holmes,PF-SF,7.20%,8.25,9.5,6' 8.25'',6' 9.25'',8' 11.5'',242.2,6' 11.5''
Jordan Mickey,PF,7.20%,8.75,9.5,6' 7'',6' 8.25'',8' 10'',238,7' 3.25''
Joseph Young,SG-PG,4.10%,8.75,7.5,6' 0.75'',6' 2'',7' 10.5'',182.2,6' 5''
Justin Anderson,SF-SG,5.00%,8.5,9.5,6' 5.25'',6' 6.25'',8' 5'',230.6,6' 11.75''
Justise Winslow,SF,5.30%,8.5,9.25,6' 4.5'',6' 6.5'',8' 8.5'',221.8,6' 10.25''
Keifer Sykes,PG,5.00%,8.5,9.5,5' 10.5'',5' 11.75'',7' 9'',167.2,6' 2''
Kelly Oubre,SF-SG,5.70%,9,8.75,6' 5.75'',6' 6.75'',8' 6.5'',202.8,7' 2.25''
Kevon Looney,PF,11.90%,9.5,9.25,6' 8'',6' 9.25'',9' 2'',222.4,7' 3.5''
Larry Nance,PF,6.40%,9,9.75,6' 7.5'',6' 8.5'',9' 0'',226.6,7' 1.5''
Marcus Thornton,PG-SG,5.30%,8.25,8.5,6' 1.75'',6' 2.75'',8' 1.5'',177.4,6' 7.75''
Michael Frazier II,SG,7.40%,8.25,9.25,6' 3.75'',6' 4.25'',8' 5.5'',199.4,6' 8''
Michael Qualls,SG-SF,4.00%,9,10.25,6' 4'',6' 5'',8' 8.5'',201.4,7' 0.25''
Montrezl Harrell,PF,11.90%,9,9.75,6' 7'',6' 7.5'',9' 1'',253.4,7' 4.25''
Mouhammadou Jaiteh,C-PF,9.90%,9,9.25,6' 9.5'',6' 10.5'',9' 2.5'',246.8,7' 3.25''
Myles Turner,C-PF,9.30%,9.25,9.25,6' 9.75'',6' 11.5'',9' 4'',238.6,7' 4''
Norman Powell,SG,6.40%,9.25,9,6' 3'',6' 4.25'',8' 6.5'',215.4,6' 10.75''
Olivier Hanlan,PG-SG,4.30%,8,8.75,6' 3.25'',6' 4.25'',8' 4'',185.8,6' 6''
Pat Connaughton,SG,10.20%,8.5,9.25,6' 4'',6' 5.25'',8' 0'',215,6' 8''
Quinn Cook,PG,6.70%,7.5,8.75,6' 0.25'',6' 2'',8' 0.5'',179,6' 4''
R.J. Hunter,SG,6.00%,8.5,8.25,6' 4.5'',6' 6'',8' 8'',185,6' 10.5''
Rakeem Christmas,PF-C,9.60%,9.25,9,6' 8.25'',6' 9.75'',9' 2.5'',242.6,7' 5.25''
Rashad Vaughn,SG,6.20%,8,8.5,6' 3.75'',6' 5'',8' 5'',198.6,6' 7''
Richaun Holmes,PF,8.80%,8.5,8.5,6' 8.25'',6' 9.5'',9' 0'',242.8,7' 1.5''
Robert Upshaw,C,12.50%,10,11,6' 10.75'',7' 0'',9' 5'',258.2,7' 5.5''
Rondae Hollis-Jefferson,SF,5.00%,8.75,9.75,6' 5.5'',6' 7'',8' 8'',210.8,7' 2''
Ryan Boatright,PG,6.60%,7.5,8.75,5' 10'',5' 11'',7' 8.5'',169.6,6' 0.5''
Sam Dekker,SF,7.50%,8.5,9.25,6' 7.75'',6' 9'',8' 10'',218.6,6' 11.5''
Stanley Johnson,SF,7.50%,9,9,6' 5'',6' 6.5'',8' 6'',241.8,6' 11.5''
TJ McConnell,PG,7.30%,7.5,7,6' 0.5'',6' 2'',8' 0.5'',187.8,6' 2''
TaShawn Thomas,PF,12.40%,9,9.25,6' 7.25'',6' 8'',9' 0'',240.2,7' 2''
Terran Petteway,SG,4.90%,8.25,8.25,6' 4.75'',6' 6'',8' 8.5'',209.2,6' 11.25''
Terry Rozier,PG-SG,5.60%,8.25,8.5,6' 0.5'',6' 2.25'',8' 2.5'',190.2,6' 8.25''
Treveon Graham,SF,5.50%,8.5,8.25,6' 4'',6' 5.75'',8' 7'',219.4,6' 10.5''
Trey Lyles,PF,12.10%,9.25,10.25,6' 9'',6' 10.25'',9' 0'',241.2,7' 1.5''
Tyler Harvey,SG,9.20%,7.75,8.75,6' 2.75'',6' 4'',8' 2.5'',181.4,6' 5.5''
Tyus Jones,PG,6.50%,8.25,8.75,6' 0.5'',6' 2'',8' 1'',184.6,6' 5''
Vince Hunter,PF,4.60%,9,8.75,6' 6.75'',6' 7.5'',8' 8.5'',208.4,6' 11''
Willie Cauley-Stein,C,6.30%,9.5,9,6' 11.25'',7' 0.5'',9' 3'',242.4,7' 3''
