ADVANCED,GP,GS,MPG,USG_PCT,OFF_RTG,DEF_RTG,TS_PCT,EFG_PCT,FT_RATE,3FG_TEND,OFF_REB_PCT,DEF_REB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TO_PCT
"1 Okafor, Emeka UCONN",36,36,32.4,25,113.6,82,0.597,0.599,50,0,13,22.1,16.3,6.00%,1.80%,11.00%,13.60%
"2 Wadood, Zakee ETNST",33,33,31,24.8,103,82.6,0.521,0.468,41.4,23.5,7.6,19,12.4,16.50%,4.80%,6.80%,16.00%
"3 Dobbins, Tony RICH",33,32,33.6,18.3,114.7,83.7,0.542,0.461,57.8,11.5,7,18.7,12.2,17.10%,4.80%,3.00%,12.40%
"4 Banks, B.J. SFA",30,30,26.1,15.8,98.2,84.4,0.548,0.515,38.4,45.1,1.8,14.7,7.5,12.00%,4.60%,1.40%,22.00%
"5 Lewis, Josh APSU",32,32,28.6,18.9,104.5,84.4,0.629,0.598,45.6,0,8.9,22.2,14.3,11.10%,2.70%,10.40%,24.40%
"6 Garcia, Francisco LOU",28,27,30.4,28.2,110.3,85,0.567,0.507,40,46.4,4.2,11.8,7.5,35.70%,3.60%,4.80%,16.30%
"7 Oliver, Xavier ALST",31,2,21.1,17.4,97.8,85,0.593,0.579,48.8,19.7,11.4,27.2,17.8,13.50%,2.70%,5.30%,28.70%
"8 George, Otis LOU",30,7,19.6,15.1,110.7,85.2,0.534,0.496,48.1,10.9,10.4,16.1,12.3,8.50%,2.60%,3.50%,13.30%
"9 Hamilton, Kevin HC",28,27,29.1,21.4,101.7,85.4,0.549,0.523,35.1,56.6,3.1,16.6,8.4,19.30%,5.50%,1.60%,17.90%
"10 Whitehead, Luke LOU",29,24,28.7,21.3,106.2,85.6,0.518,0.464,41.4,7.2,10.4,18.4,13.4,10.60%,2.20%,2.10%,12.90%
"11 Williams, Shelden DUKE",37,36,26,22.9,116.5,85.7,0.636,0.589,71.4,1.8,14.8,22,17,6.90%,2.20%,10.70%,19.10%
"12 Neal, Willie MVSU",29,21,23.3,10.1,115.2,85.8,0.626,0.671,59.2,2.6,15.2,17.9,14.6,21.20%,3.00%,1.10%,32.00%
"13 Lofton, Nate SELOU",29,29,28.3,23.1,113.8,86,0.609,0.596,85.5,0,13.3,31.7,20.7,15.60%,3.10%,6.10%,17.80%
