ADVANCED,GP,GS,MPG,USG%,OFF RTG,DEF RTG,TS%,EFG%,FT RATE,3FG TEND,OFF REB%,DEF REB%,REB%,AST%,STL%,BLK%,TO%
"1 Smith, Taylor SFA",32,32,33.8,22,120.5,75.8,0.664,0.694,54.9,0,10.4,22.8,15.2,12.70%,2.00%,9.50%,13.70%
"2 Smith, Jyles SAVST",34,10,20.3,12,84.7,77.1,0.438,0.406,42.7,2.1,10.6,20.2,13.9,6.60%,3.10%,14.70%,25.50%
"3 Yeguete, Will FLA",31,10,20.9,16.2,107.8,80.3,0.564,0.535,76.1,3.5,11.9,21.9,15.6,8.60%,3.60%,1.60%,21.40%
"4 Louis, Arnold SAVST",33,17,25.8,21.4,93.6,80.7,0.515,0.478,62.2,8.6,12.8,24.3,16.7,7.30%,3.40%,1.20%,21.30%
"5 Dieng, Gorgui LOU",33,32,31.1,16.9,114.9,80.8,0.57,0.534,47.9,0,12.9,22.1,16.3,12.30%,2.60%,9.40%,17.20%
"6 Parks, Terell WIU",26,26,31.4,25.9,105.5,81.5,0.557,0.569,43.1,0,12.4,27.9,19.1,14.10%,2.10%,9.60%,14.50%
"7 Bateman, Hal SFA",32,32,27.7,20.5,93.9,81.6,0.47,0.411,60.2,8.2,1.6,11.1,5.8,39.70%,3.70%,0.80%,25.80%
"8 Noel, Nerlens UK",24,24,31.9,17.3,112,81.8,0.593,0.59,62.7,0,10.4,22.3,15.5,9.50%,4.00%,13.20%,17.50%
"9 Walkup, Thomas SFA",32,0,18.5,14.4,110.2,82.7,0.548,0.527,34.2,9.9,12.1,11.8,10.9,13.60%,2.90%,0.60%,18.50%
"10 Jackson, Justin CIN",30,22,18.8,16.4,83.2,82.9,0.446,0.423,39.1,10,9.5,20.4,13.4,15.80%,3.20%,7.80%,29.50%
"11 Kazemi, Arsalan ORE",35,27,29,15.1,122.4,83,0.64,0.595,79.5,0.5,11.5,29,18.7,9.20%,4.10%,2.40%,16.90%
"12 Young, Patric FLA",37,36,26.5,21.1,111.9,83.1,0.58,0.586,53.3,0,12.6,16.3,13.2,6.60%,2.20%,6.90%,14.80%
"13 Withey, Jeff KAN",37,37,30.9,21.4,116.6,83.3,0.631,0.583,60.4,0.3,8.8,20.9,14.4,6.20%,1.50%,13.70%,15.40%
"14 Parker, Jacob SFA",32,32,23.5,18.1,103.7,83.3,0.55,0.532,24.5,33.5,6.5,15.8,10.2,12.00%,1.90%,1.20%,16.80%
"15 Knight, Tweety MIDTN",34,3,16.5,16.5,108.9,83.3,0.606,0.608,57.5,24.5,4.8,14.1,8.8,30.00%,4.70%,0.60%,25.70%
"16 Bostic, Antonio SFA",32,32,31.6,21.6,97.9,83.6,0.491,0.451,25.2,33.4,2.4,10.8,6,10.80%,2.90%,0.90%,12.20%
"17 Muscala, Mike BUCK",34,34,31.7,31.4,119.3,84,0.583,0.513,50.9,3.6,11.8,28.9,19.2,18.50%,1.00%,7.80%,9.60%
"18 Roberson, Andre CU",31,30,33.4,19.8,101,84.1,0.53,0.515,35.6,21.1,10.6,27.1,17.6,9.40%,4.00%,4.40%,18.90%
"19 Brenton, Tommy STNBRK",33,33,31.3,17.2,110.8,84.2,0.526,0.451,78.5,10.8,9.4,20.9,14.1,29.70%,3.30%,0.80%,21.30%
"20 Porter, Otto GTOWN",31,31,35.4,23.9,120.3,84.2,0.598,0.541,44.9,29.1,6.7,19,12,18.50%,3.40%,3.00%,10.10%
"21 Weber, Briante VCU",36,7,20.9,14.9,110.5,84.5,0.517,0.45,40.9,25.2,4,12.4,7.2,21.50%,7.70%,1.40%,17.90%
"22 Miller, Malcolm SOUTHN",33,0,26.2,27.2,123.7,84.6,0.645,0.629,21.2,54.7,6.5,18.3,11.6,8.90%,2.80%,2.60%,7.70%
"23 Young, Jerran WRIGHT",36,11,19.2,26.5,104,84.7,0.601,0.579,41.9,23,9,18.5,12.6,11.40%,4.60%,3.50%,18.80%
"24 Kyser, Michale LATECH",34,33,19.3,14.2,109.3,84.9,0.511,0.479,36.8,0,12.9,15.7,12.9,5.50%,1.90%,14.00%,13.90%
"25 Moore, Brandon SOUTHN",29,27,28.4,13.3,107.3,85.1,0.564,0.5,53.1,6.9,9.4,17.9,12.6,6.10%,1.70%,6.70%,20.40%
"26 Mitchell, Akil UVA",35,35,30.5,24.6,113.3,85.2,0.586,0.545,47.1,0.6,11.7,24.9,17.1,11.70%,2.80%,1.60%,13.80%
"27 Knight, Marcos MIDTN",34,32,26.4,27.5,106.2,85.3,0.522,0.473,42.1,16.4,6.8,18.9,11.9,21.40%,2.60%,1.70%,13.80%
"28 Franklin, Jamaal SDSU",33,33,33.1,29.5,104.6,85.4,0.549,0.465,56,36.7,6,26.3,15.1,21.70%,3.00%,2.50%,18.00%
"29 Evans, Dwayne STL",35,35,29.6,24.2,118.3,85.7,0.622,0.555,61.1,6.1,10.2,21.6,14.7,8.70%,2.70%,2.60%,13.60%
"30 Witter, Austin NCAT",37,36,31.1,14.7,84.8,85.7,0.459,0.455,19.4,46.6,4.2,20.6,11.4,14.90%,1.70%,11.60%,22.90%
"31 Smart, Marcus OKST",33,33,33.5,27.1,104,85.7,0.541,0.455,57.5,35,5.4,14.2,9.2,26.80%,5.40%,2.20%,19.20%
"32 Warney, Jameel STNBRK",33,33,27.2,21.8,121.8,85.9,0.621,0.618,52.4,0,10.5,19.1,13.7,8.10%,1.60%,6.60%,10.40%
"33 Behanan, Chane LOU",39,37,26.1,21.1,107.1,85.9,0.527,0.508,46.3,4,13.2,15.7,13.5,8.30%,3.20%,1.80%,14.70%
"34 Murphy, Erik FLA",36,34,26.4,22.5,122.5,85.9,0.646,0.629,16,50,7.8,17.4,11.6,11.00%,1.60%,3.10%,13.00%
"35 Hassan, Rashad SAVST",34,24,25.6,28.1,101.6,85.9,0.574,0.546,42.2,5.4,7.7,20.2,12.6,8.30%,1.50%,3.20%,17.30%
"36 Rubles, Titus CIN",34,12,21.8,20.7,88,86,0.421,0.349,49.7,22.1,8.6,21.3,13.4,18.60%,3.20%,1.30%,21.20%
"37 Young, Kevin KAN",36,33,22.8,17.9,114.5,86.1,0.581,0.562,44.3,3,13.2,19.5,15.5,9.90%,2.90%,2.60%,15.80%
"38 Oladipo, Victor IND",36,36,28.4,22.1,124.2,86.2,0.68,0.648,42.8,22.4,11.7,14,11.8,15.20%,4.60%,2.80%,18.50%
"39 Stephens, D.J. MEM",36,28,23.6,13,133.4,86.4,0.68,0.668,40,21.2,10.2,21.3,14.5,5.20%,2.30%,11.40%,10.70%
"40 Jones, Shawn MIDTN",34,26,21.1,22.9,103.6,86.4,0.533,0.498,41.9,0,12,18.2,13.9,4.20%,0.90%,7.10%,14.80%
"41 Birch, Khem UNLV",26,15,21.8,16.3,113.4,86.4,0.601,0.563,68.1,0,12,16.3,12.9,5.30%,1.90%,12.10%,16.70%
"42 Hyder, Christopher SOUTHN",33,8,19.1,9.1,91.6,86.4,0.465,0.42,51.8,26.8,1.2,10.4,5.5,23.30%,4.40%,0.20%,34.40%
"43 Massey, Bruce MIDTN",34,31,23.4,18.4,103.7,86.5,0.509,0.441,56.5,15.3,6.7,9.5,7.5,26.70%,4.00%,1.80%,21.60%
"44 Frazier II, Michael FLA",36,1,18,15.5,120.6,86.5,0.662,0.633,22.3,79.9,3.2,17.6,9.7,9.50%,2.00%,0.20%,16.40%
"45 Haymon, Desmond SFA",32,32,30.5,19.4,110.3,86.7,0.551,0.514,44.9,38.7,7,12.9,9.1,8.00%,1.30%,0.10%,11.50%
"46 Adams, Steven PITT",32,32,23.4,17.6,111.6,86.7,0.561,0.571,40,0,15.3,19.1,15.6,5.40%,1.90%,11.20%,14.50%
"47 Carter-Williams, Michael SYR",40,40,35.2,22.1,102.9,86.9,0.498,0.438,47.2,30.5,4,11.1,6.9,40.20%,4.90%,1.70%,22.20%
"48 Hopkins, Mikael GTOWN",32,32,20.1,23.1,84.1,87,0.471,0.409,59.7,1.3,6.2,11.7,8.3,13.70%,2.80%,6.30%,23.90%
"49 Washington, Leonard WYO",32,32,30.4,26.2,101.1,87,0.543,0.505,48,27,6.9,28.6,16.1,15.50%,2.90%,6.60%,15.60%
"50 Berggren, Jared WIS",35,35,28.5,21.6,113.2,87,0.543,0.505,33.8,26.9,10.1,18.2,13,6.90%,1.30%,7.30%,9.20%
"Payne, Adreian MSU",36,24,25.6,20.6,116.1,87.1,0.638,0.578,41.8,16.7,10.1,23.9,15.9,6.30%,1.80%,5.60%,17.70%
"Brown, Ke'Ron HAMPTN",31,13,22.7,18.5,80.9,87.1,0.436,0.372,54.3,32.9,7,13.4,9.4,10.60%,4.40%,1.40%,23.10%
"Kidd, Stanton NCCU",31,31,32.2,23.4,112.3,87.2,0.613,0.583,38,16.3,10.3,16.4,12.3,7.90%,2.00%,2.20%,14.90%
"White, Khiry SAVST",32,16,20.7,14.1,66.7,87.2,0.455,0.382,51.8,30.6,3.2,9.1,5.5,10.60%,3.90%,0.70%,39.50%
"Brown, Rhamel MANH",32,28,26.5,26.6,98.3,87.3,0.531,0.549,57.5,0.4,15.5,18.3,15.3,7.90%,2.50%,14.00%,15.90%
"Copeland, Jay NCCU",27,26,22.1,18.9,102.1,87.4,0.6,0.576,69.6,0,11,14.2,11.6,2.20%,1.80%,4.20%,21.20%
"Blackshear, Wayne LOU",39,34,20.1,19.4,113.1,87.4,0.541,0.514,25,56,3.3,14.7,8.4,6.30%,2.60%,1.50%,8.00%
"Motley, Terrance SHSU",31,5,16.7,26.4,89.5,87.5,0.455,0.421,36.4,0,11.8,22.8,15.7,5.10%,2.60%,3.00%,14.70%
"Wright, TrayVonn NDSU",34,34,28,21.5,111,87.6,0.537,0.516,10.3,44.9,8.9,18,12.6,5.20%,2.00%,7.80%,8.90%
"Evans, Ryan WIS",35,35,29.1,26.4,89.5,87.7,0.41,0.397,40.5,6.6,8,21.5,13.6,15.70%,1.70%,2.80%,11.30%
"Reves, Jordan UTA",33,29,29.4,17.6,98.6,87.7,0.505,0.471,58.8,0,10.1,20.7,14,7.40%,2.30%,9.70%,17.50%
"Sulton, JT MIDTN",34,22,19.9,18.2,102,87.7,0.534,0.465,55.3,1.3,8.5,15,10.8,4.10%,1.70%,3.70%,17.20%
"Smith, Cedric SAVST",34,34,26.2,14.2,73.7,87.7,0.396,0.372,55.5,2.9,6,11,7.7,11.30%,3.40%,0.50%,27.30%
"Harris, Elias GONZ",34,34,27.8,26.8,118.1,87.8,0.586,0.513,57.6,13.9,9.5,21.4,14.4,11.10%,2.60%,2.40%,12.40%
"Bolomboy, Joel WEBER",37,0,21.7,17.7,114.8,87.8,0.637,0.578,87.1,0,15.3,24.1,18.9,3.60%,1.10%,7.40%,22.50%
"Siva, Peyton LOU",40,40,31.2,20,104.7,87.9,0.518,0.459,28.5,38.4,1.1,7.6,4.1,34.30%,4.40%,0.60%,21.50%
"Moser, Mike UNLV",28,17,21.3,22.3,89.4,87.9,0.455,0.409,25.3,30.3,6.8,23.4,14,12.80%,2.10%,3.20%,17.60%
"Smith, Russ LOU",40,37,30.3,33,110.2,87.9,0.549,0.47,49.3,33.8,4,8.7,5.9,21.10%,4.20%,0.20%,13.70%
