RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP40M,TO,TOPG,PF,ST/TO,ST/PF
1,"Desmond Cambridge, G",AAMU,29,29.5,160,5.52,7.48,119,4.1,81,1.34,1.98
2,"John Linehan, G",PROV,31,33.7,139,4.48,5.32,72,2.32,81,1.93,1.72
3,"Mire Chatman, G",TRGV,30,34.2,105,3.5,4.09,110,3.67,75,0.95,1.4
4,"Marques Green, G",SBON,29,38,98,3.38,3.56,73,2.52,73,1.34,1.34
5,"Marcus Hatten, G",SJU,31,36.6,103,3.32,3.63,117,3.77,81,0.88,1.27
6,"Carlos Morban, G",FIU,29,28.7,87,3,4.19,94,3.24,85,0.93,1.02
7,"Jason Conley, F",VMI,28,34.3,82,2.93,3.42,103,3.68,52,0.8,1.58
8,"James Thues, G",SYR,31,31.4,87,2.81,3.58,75,2.42,61,1.16,1.43
9,"Markus Carr, G",CSN,28,32.5,77,2.75,3.38,107,3.82,62,0.72,1.24
10,"Kevin Braswell, G",GTWN,30,33.6,81,2.7,3.22,90,3,65,0.9,1.25
11,"Juan Dixon, G",MD,30,33,80,2.67,3.23,73,2.43,61,1.1,1.31
12,"Chuck Eidson, G",SCAR,32,29.5,84,2.63,3.56,59,1.84,75,1.42,1.12
13,"Von Damien Green, G",MAN,28,37.5,72,2.57,2.74,89,3.18,84,0.81,0.86
14,"Ricky Minard, G-F",MORE,29,35.6,73,2.52,2.83,86,2.97,91,0.85,0.8
15,"Courtney Eldridge, G",UNCG,29,31.8,73,2.52,3.17,105,3.62,68,0.7,1.07
16,"Jay Heard, F",JVST,29,32.6,73,2.52,3.09,59,2.03,90,1.24,0.81
17,"Garrett Richardson, G",TNST,28,34.6,70,2.5,2.89,95,3.39,62,0.74,1.13
18,"Dwyane Wade, G",MARQ,31,29.2,76,2.45,3.36,95,3.06,77,0.8,0.99
19,"Andrew Gellert, G",HARV,26,31.2,63,2.42,3.11,43,1.65,74,1.47,0.85
20,"Chris Caldwell, G",LIB,30,32.5,72,2.4,2.95,82,2.73,90,0.88,0.8
21,"Brian Allen, G",TOWS,28,30.4,67,2.39,3.15,150,5.36,61,0.45,1.1
22,"Demarcus Wilkins, G",FAMU,28,30.3,67,2.39,3.16,79,2.82,72,0.85,0.93
23,"David Sykes, G",TXST,26,25.6,62,2.38,3.73,69,2.65,67,0.9,0.93
24,"Darius Lane, G",HALL,29,28.8,69,2.38,3.31,71,2.45,83,0.97,0.83
25,"Brandin Knight, G",PITT,32,36.4,76,2.38,2.61,103,3.22,79,0.74,0.96
