RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP40M,BLK/PF
1,"Mickell Gladness, F-C",AAMU,30,29.2,188,78,6.27,8.57,2.41
2,"Stephane Lasme, F",UMASS,31,30.1,156,102,5.03,6.68,1.53
3,"Hasheem Thabeet, C",CONN,31,24.6,119,82,3.84,6.25,1.45
4,"McHugh Mattis, F",USF,30,32.9,109,85,3.63,4.42,1.28
5,"Dominic McGuire, G-F",FRES,31,32.7,110,90,3.55,4.33,1.22
6,"Greg Oden, C",OSU,26,29.2,92,66,3.54,4.84,1.39
7,"Scott VanderMeer, C",UIC,32,23.7,111,95,3.47,5.87,1.17
8,"Darryl Watkins, C",SYR,30,29,102,106,3.4,4.7,0.96
9,"Durrell Nevels, F",CARK,30,29.2,99,89,3.3,4.52,1.11
10,"John Bunch, C",MONM,29,20.6,95,60,3.28,6.38,1.58
11,"Chaz Crawford, F",DREX,31,29.7,101,98,3.26,4.38,1.03
12,"Joel Anthony, C",UNLV,34,18.2,105,80,3.09,6.77,1.31
13,"Herbert Hill, F-C",PROV,30,31.8,89,86,2.97,3.74,1.03
14,"Steven Hill, F-C",ARK,34,23.6,99,97,2.91,4.94,1.02
15,"Brandon Wallace, F",SCAR,30,36.5,86,61,2.87,3.14,1.41
16,"Ekene Ibekwe, F",MD,31,25.2,85,100,2.74,4.35,0.85
17,"Kieron Achara, F-C",DUQ,23,26.7,59,66,2.57,3.85,0.89
18,"William Byrd, F",ARPB,31,31.8,78,78,2.52,3.16,1
19,"Bamba Fall, C",SMU,25,21.6,62,65,2.48,4.58,0.95
20,"Diamon Simpson, F",SMC,32,28.4,79,79,2.47,3.48,1
21,"Roy Hibbert, C",GTWN,32,26.2,78,85,2.44,3.73,0.92
22,"Josh McRoberts, F-C",DUKE,32,35.1,77,83,2.41,2.74,0.93
23,"Robin Lopez, C",STAN,30,24.4,72,67,2.4,3.94,1.07
24,"Bryant Dunston, F",FOR,30,29,71,97,2.37,3.27,0.73
25,"Shawn King, C",ORU,33,19.4,78,84,2.36,4.87,0.93
26,"Joey Dorsey, F",MEM,33,25,77,91,2.33,3.74,0.85
27,"Jermareo Davidson, F",ALA,29,32.2,66,51,2.28,2.83,1.29
28,"Jemino Sobers, F",CCSU,33,30.9,75,98,2.27,2.94,0.77
29,"D.J. White, F",IND,30,31.5,67,81,2.23,2.83,0.83
30,"Trevor Booker, F",CLEM,31,25.7,69,79,2.23,3.47,0.87
