RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP40M,BLK/PF
1,"Deng Gai, F",FAIR,30,36,165,84,5.5,6.11,1.96
2,"Shawn James, F-C",NE,24,24.5,129,70,5.38,8.76,1.84
3,"Shelden Williams, F",DUKE,30,33.7,113,84,3.77,4.47,1.35
4,"Kyle Hines, F",UNCG,30,33.3,106,90,3.53,4.24,1.18
5,"Yemi Nicholson, C",DEN,30,30.1,91,69,3.03,4.04,1.32
6,"Chaz Crawford, F",DREX,28,23.9,84,88,3,5.01,0.95
7,"Josh Boone, F-C",CONN,29,29.4,86,61,2.97,4.03,1.41
8,"Anthony King, C",MIA,28,28.9,83,56,2.96,4.11,1.48
9,"Ronald Alexander, C",MVSU,28,28.1,82,63,2.93,4.17,1.3
10,"Justin Williams, F-C",WYO,28,23.5,81,91,2.89,4.92,0.89
11,"Elgrace Wilborn, F-C",WKU,27,27.4,78,70,2.89,4.21,1.11
12,"Dwayne Jones, C",JOES,30,34.6,86,69,2.87,3.32,1.25
13,"Sylvester Morgan, F-C",GAST,29,22.1,81,78,2.79,5.05,1.04
14,"Moussa Badiane, C",ECU,27,29.7,75,92,2.78,3.74,0.82
15,"Patrick O'Bryant, C",BRAD,27,23.1,75,89,2.78,4.82,0.84
16,"Rans Brempong, F-C",WCU,30,23.7,83,95,2.77,4.66,0.87
17,"Erek Hansen, C",IOWA,31,20,83,103,2.68,5.36,0.81
18,"Jason Maxiell, F",CIN,31,31.2,82,76,2.65,3.39,1.08
19,"C.J. Walker, C",UNCA,26,15,68,54,2.62,6.96,1.26
20,"Stephane Lasme, F",UMASS,28,23.2,72,92,2.57,4.44,0.78
21,"Jeff Hagen, C",MINN,31,26.8,79,67,2.55,3.81,1.18
22,"Jason Fraser, F",VILL,25,20.9,63,68,2.52,4.82,0.93
23,"Deji Akindele, C",CHS,28,28.8,70,102,2.5,3.47,0.69
24,"Bryant Dunston, F",FOR,40,33.2,98,120,2.45,2.96,0.82
25,"Haminn Quaintance, F",JAC,27,31.9,66,67,2.44,3.07,0.99
26,"William Byrd, F",ARPB,28,29,68,62,2.43,3.35,1.1
27,"Sean Williams, C",BC,25,16.8,60,48,2.4,5.73,1.25
28,"Grant Stout, F",UNI,31,31.5,74,77,2.39,3.03,0.96
29,"Mustafa Al-Sayyad, C",FRES,30,27.4,70,60,2.33,3.41,1.17
30,"Ike Diogu, F-C",ASU,31,36.5,72,86,2.32,2.55,0.84
31,"Eric Hicks, F",CIN,30,31.3,69,73,2.3,2.94,0.95
32,"Eddy Fobbs, F-C",SHSU,30,22,68,98,2.27,4.13,0.69
33,"Devon Neckles, F",SFNY,19,23.5,43,62,2.26,3.85,0.69
34,"Alioune Beye, C",MTST,19,23.4,43,57,2.26,3.87,0.75
35,"D.J. White, F",IND,28,28.1,62,74,2.21,3.15,0.84
