RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP40M,BLK/PF
1,"Jarvis Varnado, F",MSST,32,28.4,148,91,4.63,6.52,1.63
2,"Mickell Gladness, F-C",AAMU,29,30.6,131,72,4.52,5.9,1.82
3,"Hasheem Thabeet, C",CONN,32,30.8,143,84,4.47,5.8,1.7
4,"Kleon Penn, C",MCNS,29,24.6,117,75,4.03,6.55,1.56
5,"Emmanuel Adeife, C",UNLV,1,16,4,0,4,10,0
6,"Shawn James, F-C",DUQ,28,23.8,111,73,3.96,6.68,1.52
7,"Jerome Jordan, C",TLSA,33,25,121,95,3.67,5.87,1.27
8,"Kenny George, C",UNCA,27,19.5,92,32,3.41,7,2.88
9,"Tyrelle Blair, C",BC,31,22.7,105,83,3.39,5.97,1.27
10,"Kyle Hines, F",UNCG,31,32.3,95,86,3.06,3.79,1.1
11,"Hamady Ndiaye, C",RUTG,31,22.7,93,94,3,5.28,0.99
12,"Phillip Brown, C",AFA,1,13,3,2,3,9.23,1.5
13,"Larry Sanders, F",VCU,31,16.6,92,85,2.97,7.16,1.08
14,"Ekpe Udoh, F-C",MICH,32,26,92,77,2.88,4.42,1.19
15,"Daniel Northern, F-C",TNTC,32,30.7,90,78,2.81,3.67,1.15
16,"JaVale McGee, F",NEV,32,27.4,90,77,2.81,4.1,1.17
17,"Bryant Dunston, F",FOR,29,33.1,79,67,2.72,3.29,1.18
18,"Marqus Blakely, F",UVM,29,34,79,80,2.72,3.2,0.99
19,"Tomas Vazquez-Simmons, F",CAN,31,25.7,84,74,2.71,4.22,1.14
20,"Jason Thompson, F",RID,33,34.5,88,97,2.67,3.09,0.91
22,"Boubacar Coly, F",MORG,32,34,83,96,2.59,3.05,0.86
23,"Scott VanderMeer, C",UIC,33,28.1,85,75,2.58,3.66,1.13
24,"Cruz Daniels, C",HP,29,20.6,74,83,2.55,4.95,0.89
25,"Taj Gibson, F",USC,32,32.2,81,110,2.53,3.15,0.74
26,"John Bryant, C",SCU,31,27.8,76,93,2.45,3.53,0.82
27,"Chidozie Chukwumah, C",CHS,28,21.6,68,76,2.43,4.5,0.89
28,"Jeremy Clayton, F",APP,31,29.3,75,87,2.42,3.3,0.86
29,"William Byrd, F",ARPB,31,31.8,74,60,2.39,3.01,1.23
30,"Cavell Johnson, F",UMBC,30,27.2,70,74,2.33,3.44,0.95
