RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP40M,BLK/PF
1,"Jarvis Varnado, F",MSST,35,28.3,165,79,4.71,6.67,2.09
2,"Hasheem Thabeet, C",CONN,31,32.5,142,78,4.58,5.64,1.82
3,"Tony Gaffney, C",UMASS,30,33.9,115,61,3.83,4.52,1.89
4,"Kleon Penn, C",MCNS,29,25.1,102,64,3.52,5.6,1.59
5,"Taj Gibson, F",USC,33,33.9,92,94,2.79,3.29,0.98
6,"Cruz Daniels, C",HP,30,26.2,83,87,2.77,4.22,0.95
7,"Chief Kickingstallionsims, C",ALST,31,20.7,85,77,2.74,5.3,1.1
8,"Luke Nevill, C",UTAH,33,32,90,93,2.73,3.41,0.97
9,"Andrew Nicholson, F",SBON,30,25.1,81,99,2.7,4.3,0.82
10,"Marqus Blakely, F",UVM,31,32.5,83,96,2.68,3.3,0.86
11,"Larry Sanders, F",VCU,33,26.5,88,120,2.67,4.02,0.73
12,"Thomas Coleman, F-C",NCAT,32,26.4,85,89,2.66,4.03,0.96
13,"Chris Johnson, C",LSU,33,25,87,71,2.64,4.21,1.23
14,"Nick Schneiders, C",UPST,30,27.4,79,97,2.63,3.85,0.81
15,"John Williams, F",UNCA,29,31.1,76,44,2.62,3.37,1.73
16,"Jerome Jordan, C",TLSA,34,27,88,103,2.59,3.83,0.85
17,"Alex Woodhouse, F",COLG,23,28.1,59,66,2.57,3.65,0.89
18,"John Bryant, C",SCU,33,31,84,84,2.55,3.28,1
19,"Keith Benson, C",OAK,34,27.7,86,107,2.53,3.65,0.8
20,"Daniel Northern, F-C",TNTC,29,28.4,73,78,2.52,3.54,0.94
21,"Scott VanderMeer, C",UIC,31,31.5,77,94,2.48,3.16,0.82
22,"William Mosley, C",NWST,31,24.7,76,72,2.45,3.97,1.06
23,"Cole Aldrich, C",KU,32,29.4,78,84,2.44,3.32,0.93
24,"Gregory Echenique, C",RUTG,32,28.4,78,72,2.44,3.43,1.08
25,"Ryan Bacon, F",SPU,30,27.7,73,96,2.43,3.52,0.76
